,freq
"('믿다', '사람')",2
"('맛', '사람')",2
"('신맛', '씹히다')",2
"('보다', '사람')",2
"('두번째', '주문')",2
"('자다', '한번')",2
"('그대로', '먹다')",2
"('고기', '추천')",2
"('먹다', '청양고추')",2
"('남자친구', '먹다')",2
"('마늘', '먹다')",2
"('먹다', '슬')",2
"('아니다', '한번')",2
"('밀폐', '한번')",2
"('믿다', '유리')",2
"('넣다', '마늘')",2
"('넣다', '슬')",2
"('맛', '신맛')",2
"('버리다', '식감')",2
"('나다', '유리')",2
"('담그다', '보다')",2
"('늘다', '유리')",2
"('강하다', '씹히다')",2
"('넣다', '라이스')",2
"('라이스', '먹다')",2
"('구매', '초석')",2
"('가족', '아주')",2
"('만들다', '식감')",2
"('믿다', '보다')",2
"('만들다', '맛')",2
"('먹다', '밀폐')",2
"('맛있다', '매달')",2
"('매달', '먹다')",2
"('맛', '짱아찌')",2
"('보다', '양념')",2
"('괜찮다', '만들다')",2
"('많다', '입맛')",2
"('늘다', '많다')",2
"('만들다', '식초')",2
"('깔끔하다', '많다')",2
"('나다', '보다')",2
"('봣', '식감')",2
"('구매', '딱이다')",2
"('구매', '보다')",2
"('추가', '통')",2
"('늘다', '보다')",2
"('식감', '씹히다')",2
"('늘다', '믿다')",2
"('강하다', '식감')",2
"('반찬', '추천')",2
"('늘다', '식감')",2
"('식감', '신맛')",2
"('깔끔하다', '식감')",2
"('장아찌', '포장')",2
"('식감', '찾다')",2
"('살짝', '포장')",2
"('보다', '싶다')",2
"('가다', '보고')",2
"('사장', '자다')",2
"('그대로', '장아찌')",2
"('살짝', '아삭거리다')",2
"('무른거', '좋다')",2
"('무른거', '주문')",2
"('먹다', '무른거')",2
"('그대로', '맛있다')",2
"('무른거', '추가')",2
"('맛있다', '무른거')",2
"('맛', '봣')",2
"('짜지다', '추가')",2
"('먹다', '후기')",2
"('구매', '살짝')",2
"('좋다', '평이')",2
"('맛', '의사')",2
"('의사', '포장')",2
"('맛있다', '여기저기')",2
"('마늘', '슬')",2
"('마늘', '맛있다')",2
"('남다', '아깝다')",2
"('맛있다', '슬')",2
"('담', '맛있다')",2
"('식감', '후기')",2
"('맛있다', '여행가')",2
"('믿다', '식감')",2
"('살다', '좋다')",2
"('맛있다', '편')",2
"('보다', '편')",2
"('식감', '알다')",2
"('배송', '오다')",2
"('맛있다', '잇다')",2
"('맛있다', '사장')",2
"('식감', '포장')",2
"('단양', '시장')",2
"('의사', '짜지다')",2
"('넉넉하다', '단양')",2
"('고기', '입맛')",2
"('강하다', '입맛')",2
"('밑반찬', '자다')",2
"('병', '주문')",2
"('맛있다', '몇번')",2
"('강하다', '찾다')",2
"('달콤하다', '맛있다')",2
"('비', '좋다')",2
"('넉넉하다', '밑반찬')",2
"('병', '통')",2
"('무치다', '짜다')",2
"('먹다', '반')",2
"('입맛', '찾다')",2
"('보다', '의사')",2
"('없다', '추천')",2
"('먹다', '한식')",2
"('먹다', '안전하다')",2
"('먹다', '중')",2
"('무치다', '장아찌')",2
"('개인', '맛')",2
"('덜다', '먹다')",2
"('구매', '아삭거리다')",2
"('가성', '좋다')",2
"('늘다', '잇다')",2
"('짜지다', '처음')",2
"('배송', '제품')",2
"('넉넉하다', '시장')",2
"('담', '먹다')",2
"('김치', '먹다')",2
"('식감', '적당하다')",2
"('맛', '하니')",2
"('드리다', '시댁')",2
"('말다', '파다')",2
"('가격', '감사하다')",2
"('만족스럽다', '포장')",2
"('만족스럽다', '의사')",2
"('반찬', '빨갛다')",2
"('냉장고', '먹다')",2
"('두다', '좋다')",2
"('만족스럽다', '맛')",2
"('고기랑', '먹음')",2
"('반찬', '요건')",2
"('먹다', '완전')",2
"('맛있다', '입')",2
"('어울리다', '울리다')",2
"('먹다', '채다')",2
"('아쉽다', '포장')",2
"('어울리다', '채다')",2
"('궁합', '먹다')",2
"('냉장고', '밑반찬')",2
"('좋다', '평소')",2
"('반찬', '채다')",2
"('반찬', '울리다')",2
"('요건', '처음')",2
"('그렇다', '보다')",2
"('싸다', '아주')",2
"('빨갛다', '처음')",2
"('그냥', '보다')",2
"('채다', '처음')",2
"('궁채', '만족스럽다')",2
"('먹다', '미리')",2
"('울리다', '처음')",2
"('맛있다', '용기')",2
"('빨갛다', '요건')",2
"('나물', '부모님')",2
"('맵다', '먹다')",2
"('빨갛다', '어울리다')",2
"('궁', '먹다')",2
"('어울리다', '요건')",2
"('별로', '보고')",2
"('구매', '처음')",2
"('구매', '요건')",2
"('맛있다', '필수')",2
"('구매', '빨갛다')",2
"('구매', '채다')",2
"('빨르다', '포장')",2
"('맛있다', '빨르다')",2
"('배송', '빨르다')",2
"('구매', '울리다')",2
"('삼은', '어울리다')",2
"('반찬', '삼은')",2
"('삼은', '처음')",2
"('보고', '종류')",2
"('삼은', '요건')",2
"('느끼하다', '자다')",2
"('어울리다', '주문')",2
"('만족스럽다', '후기')",2
"('빨갛다', '삼은')",2
"('삼은', '채다')",2
"('만족스럽다', '믿다')",2
"('아쉽다', '아주')",2
"('삼은', '울리다')",2
"('맛있다', '삼은')",2
"('만들다', '반')",2
"('어울리다', '처음')",2
"('만족스럽다', '좋아하다')",2
"('먹다', '종류')",2
"('먹다', '별로')",2
"('남편', '맛있다')",2
"('상태', '장아찌')",2
"('먹다', '미치다')",2
"('요건', '채다')",2
"('맛있다', '매콤')",2
"('아쉽다', '좋다')",2
"('상품', '좋다')",2
"('비닐', '좋다')",2
"('보내다', '친정')",2
"('금방', '추가')",2
"('개', '궁채')",2
"('반', '보내다')",2
"('싸다', '좋다')",2
"('요건', '울리다')",2
"('넣다', '비닐')",2
"('엉망', '좋다')",2
"('궁채', '아치')",2
"('씹다', '짜지다')",2
"('양파', '장아찌')",2
"('밥', '재')",2
